time_sent,time_reply,bet,side,result,duration_ms
2025-11-01T02:49:35.939Z,2025-11-01T02:49:39.041Z,15624,h,loss,3102
2025-11-01T02:49:56.781Z,2025-11-01T02:49:59.886Z,31248,h,loss,3105
2025-11-01T02:50:15.283Z,2025-11-01T02:50:18.375Z,62496,h,win,3092
2025-11-01T02:50:34.923Z,2025-11-01T02:50:38.075Z,3906,h,loss,3152
2025-11-01T02:50:56.461Z,2025-11-01T02:51:01.037Z,7812,h,loss,4576
2025-11-01T02:51:18.780Z,2025-11-01T02:51:22.322Z,15624,h,win,3542
2025-11-01T02:51:40.812Z,2025-11-01T02:51:44.027Z,3906,h,loss,3215
2025-11-01T02:52:03.262Z,2025-11-01T02:52:06.905Z,7812,h,win,3643
2025-11-01T02:52:25.447Z,2025-11-01T02:52:28.598Z,3906,h,loss,3151
2025-11-01T02:52:44.372Z,2025-11-01T02:52:48.179Z,7812,h,loss,3807
2025-11-01T02:53:03.191Z,2025-11-01T02:53:06.651Z,15624,h,loss,3460
2025-11-01T02:53:24.386Z,2025-11-01T02:53:27.555Z,31248,h,loss,3169
2025-11-01T02:53:42.858Z,2025-11-01T02:53:45.962Z,62496,h,loss,3104
2025-11-01T02:54:04.200Z,2025-11-01T02:54:07.329Z,124992,h,loss,3129
2025-11-01T02:54:26.548Z,2025-11-01T02:54:29.773Z,249984,h,win,3225
2025-11-01T02:54:48.408Z,2025-11-01T02:54:51.991Z,3906,h,loss,3583
2025-11-01T02:55:08.123Z,2025-11-01T02:55:11.333Z,7812,h,win,3210
2025-11-01T02:55:28.184Z,2025-11-01T02:55:31.407Z,3906,h,loss,3223
2025-11-01T02:55:49.664Z,2025-11-01T02:55:53.341Z,7812,h,loss,3677
2025-11-01T02:56:09.661Z,2025-11-01T02:56:12.772Z,15624,h,loss,3111
2025-11-01T02:56:32.070Z,2025-11-01T02:56:35.240Z,31248,h,win,3170
2025-11-01T02:56:51.283Z,2025-11-01T02:56:54.619Z,3906,h,win,3336
2025-11-01T03:03:26.635Z,2025-11-01T03:03:30.233Z,3906,t,loss,3598
2025-11-01T03:03:49.290Z,2025-11-01T03:03:52.448Z,7812,t,loss,3158
2025-11-01T03:04:08.198Z,2025-11-01T03:04:11.746Z,15624,t,loss,3548
2025-11-01T03:04:28.068Z,2025-11-01T03:04:31.342Z,31248,t,win,3274
2025-11-01T03:04:48.600Z,2025-11-01T03:04:51.776Z,3906,t,loss,3176
2025-11-01T03:05:06.803Z,2025-11-01T03:05:09.983Z,7812,t,win,3180
2025-11-01T03:05:29.052Z,2025-11-01T03:05:32.457Z,3906,t,win,3405
2025-11-01T03:05:48.940Z,2025-11-01T03:05:52.452Z,3906,t,win,3512
2025-11-01T03:06:12.081Z,2025-11-01T03:06:15.190Z,3906,t,loss,3109
2025-11-01T03:06:34.584Z,2025-11-01T03:06:37.883Z,7812,t,loss,3299
2025-11-01T03:06:53.622Z,2025-11-01T03:06:56.854Z,15624,t,loss,3232
2025-11-01T03:07:14.962Z,2025-11-01T03:07:18.822Z,31248,t,win,3860
2025-11-01T03:07:38.524Z,2025-11-01T03:07:41.633Z,3906,t,win,3109
2025-11-01T03:07:58.254Z,2025-11-01T03:08:01.398Z,3906,t,loss,3144
2025-11-01T03:08:19.719Z,2025-11-01T03:08:22.988Z,7812,t,win,3269
2025-11-01T03:08:39.720Z,2025-11-01T03:08:42.928Z,3906,t,loss,3208
2025-11-01T03:08:59.520Z,2025-11-01T03:09:02.728Z,7812,t,loss,3208
2025-11-01T03:09:18.116Z,2025-11-01T03:09:21.296Z,15624,t,win,3180
2025-11-01T03:09:41.035Z,2025-11-01T03:09:44.193Z,3906,t,win,3158
2025-11-01T03:10:03.447Z,2025-11-01T03:10:06.855Z,3906,t,win,3408
2025-11-01T03:10:24.226Z,2025-11-01T03:10:27.276Z,3906,t,win,3050
2025-11-01T03:10:46.380Z,2025-11-01T03:10:49.530Z,3906,t,win,3150
2025-11-01T03:11:04.740Z,2025-11-01T03:11:07.931Z,3906,t,loss,3191
2025-11-01T03:11:24.863Z,2025-11-01T03:11:28.199Z,7812,t,loss,3336
2025-11-01T03:11:43.432Z,2025-11-01T03:11:47.064Z,15624,t,win,3632
2025-11-01T03:12:06.719Z,2025-11-01T03:12:10.014Z,3906,t,loss,3295
2025-11-01T03:12:26.451Z,2025-11-01T03:12:29.623Z,7812,t,loss,3172
2025-11-01T03:12:45.446Z,2025-11-01T03:12:48.641Z,15624,t,win,3195
2025-11-01T03:13:05.745Z,2025-11-01T03:13:08.913Z,3906,t,win,3168
2025-11-01T03:13:27.568Z,2025-11-01T03:13:30.804Z,3906,t,win,3236
2025-11-01T03:13:46.659Z,2025-11-01T03:13:49.797Z,3906,t,loss,3138
2025-11-01T03:14:07.331Z,2025-11-01T03:14:11.226Z,7812,t,loss,3895
2025-11-01T03:14:30.877Z,2025-11-01T03:14:34.625Z,15624,t,win,3748
